City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
332,Rio Gallegos,-51.6226,-69.2181,19.45,86,0,5.75,clear sky
333,Orlik,52.5178,99.825,63.79,47,72,10.0,broken clouds
334,Saint-Louis,16.3333,-15.0,80.24,72,20,9.66,few clouds
335,Ancud,-41.8697,-73.8203,48.22,86,100,15.97,overcast clouds
336,Amahai,-3.3333,128.9167,76.5,94,100,4.97,heavy intensity rain
337,Peniche,39.3558,-9.3811,71.56,62,0,6.4,clear sky
338,Cayenne,4.9333,-52.3333,76.08,1,27,3.44,light rain
339,Maarianhamina,60.0973,19.9348,62.46,67,0,5.75,clear sky
340,Fairbanks,64.8378,-147.7164,75.54,52,75,18.41,smoke
341,Cambrai,50.1667,3.4167,61.11,95,3,3.06,clear sky
342,Flagstaff,35.1981,-111.6513,69.46,37,0,1.01,clear sky
343,Roma,43.2128,-75.4557,64.67,90,10,0.43,clear sky
344,Broome,42.2506,-75.833,69.6,79,100,1.01,overcast clouds
345,Miles City,46.4083,-105.8406,73.54,71,90,9.17,overcast clouds
346,Esperance,-33.8667,121.9,66.87,50,1,9.17,clear sky
347,Rincon,32.296,-81.2354,78.85,98,95,4.21,overcast clouds
348,Bara,10.3744,10.7288,77.74,78,97,10.49,overcast clouds
349,Port Macquarie,-31.4333,152.9167,57.88,59,0,7.2,clear sky
350,Copiapo,-27.3667,-70.3333,51.49,21,85,5.73,overcast clouds
351,Kieta,-6.2167,155.6333,80.64,79,75,4.54,light rain
352,Beroroha,-21.6667,45.1667,74.66,38,0,10.69,clear sky
353,Kingston,17.997,-76.7936,81.55,80,20,18.41,few clouds
354,Ahipara,-35.1667,173.1667,62.47,90,4,15.43,clear sky
355,Auki,-8.7676,160.7034,80.51,77,90,2.06,overcast clouds
356,Baykit,61.67,96.37,73.65,32,74,8.32,broken clouds
357,Puri,19.8,85.85,88.32,69,100,8.99,heavy intensity rain
358,Sao Joao Da Barra,-21.6403,-41.0511,66.58,89,100,8.59,overcast clouds
359,Moyale,3.5167,39.0584,65.34,76,100,15.59,light rain
360,San Andres,12.5847,-81.7006,82.42,83,40,10.36,scattered clouds
361,Tecoanapa,16.5167,-98.75,77.05,90,100,5.7,overcast clouds
362,Mitsamiouli,-11.3847,43.2844,79.09,65,40,4.61,scattered clouds
363,Puerto Colombia,10.9878,-74.9547,80.69,83,75,17.0,broken clouds
364,Dicabisagan,17.0818,122.4157,82.62,80,100,2.3,overcast clouds
365,Bouna,9.2667,-3.0,72.0,93,100,9.89,overcast clouds
366,Saint-Augustin,51.226,-58.6502,47.71,78,80,3.24,broken clouds
